2011 Domain Star View: Medicare Part D Report Card Master Table,,,,,,
,,,,,,
Medicare Part D Report Card Master Table,,,,,,
Contract Number,Organization Marketing Name,Contract Name,Drug Plan Customer Service,Drug Plan Member Complaints and Medicare Audit Findings,Member Experience with Drug Plan,Drug Pricing and Patient Safety
H3923,Capital Advantage Insurance Company,CAPITAL ADVANTAGE INSURANCE COMPANY,4,3,4,3
H3924,Geisinger Gold,GEISINGER INDEMNITY INSURANCE COMPANY,4,3,3,2
H3931,Aetna Medicare,AETNA HEALTH INC,3,2,3,4
H3949,Bravo Health,BRAVO HEALTH PENNSYLVANIA INC.,4,2,2,4
H3952,Keystone 65,"KEYSTONE HEALTH PLAN EAST, INC.",4,3,3,2
H3954,Geisinger Gold,GEISINGER HEALTH PLAN,4,4,5,3
H3957,"Keystone Health Plan West, Inc.","KEYSTONE HEALTH PLAN WEST, INC.",4,5,3,3
H3959,HealthAmerica,"HEALTHAMERICA PENNSYLVANIA, INC.",3,4,3,3
H3962,"Keystone Health Plan Central, Inc.","KEYSTONE HEALTH PLAN CENTRAL,INC.",3,5,4,3
H3964,Bravo Health,"BRAVO HEALTH PENNSYLVANIA, INC.",3,4,1,4
H4003,Medicare y Mucho Más,"MMM HEALTHCARE, INC.",2,4,3,3
H4004,"Preferred Medicare Choice, Inc.","PREFERRED MEDICARE CHOICE, INC.",3,5,3,3
H4005,"Triple-S Salud, Inc.","TRIPLE-S SALUD,  INC.",2,3,1,4
H4006,MCS Classicare,MCS ADVANTAGE INC.,3,3,2,3
H4007,Humana Health Plans Of Puerto Rico Inc,HUMANA HEALTH PLANS OF PUERTO RICO INC,3,3,3,3
H4011,"First Medical Health Plan, Inc.","FIRST MEDICAL HEALTH PLAN, INC.",3,3,3,3
H4012,"Triple-S Salud, Inc.","TRIPLE-S SALUD, INC.",2,4,3,4
H4036,Anthem Blue Cross and Blue Shield,"ANTHEM INSURANCE COMPANIES, INC.",3,1,Not enough data to calculate stars for this category,3
H4102,SecureHorizons by UnitedHealthcare,"UNITEDHEALTHCARE OF NEW ENGLAND, INC.",4,4,4,3
H4125,Arcadian Health Plan,ARCADIAN HEALTH PLAN,3,2,4,4
H4141,"Humana Employers Health Plan of Georgia, Inc.","HUMANA EMPLOYERS HEALTH PLAN OF GEORGIA, INC.",3,1,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category
H4152,Blue Cross & Blue Shield of Rhode Island,BLUE CROSS & BLUE SHIELD OF RHODE ISLAND,2,3,2,3
H4155,JMH Health Plan,PUBLIC HEALTH TRUST OF MIAMI-DADE COUNTY,3,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category
H4209,Blue Cross Blue Shield of South Carolina,BLUE CROSS AND BLUE SHIELD OF SOUTH CAROLINA,3,3,2,2
H4213,Arkansas Blue Cross - Medi-Pak Advantage,"ARKANSAS BCBS, A MUTUAL INSURANCE COMPANY",4,2,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category
H4268,America's 1st Choice Insurance Company of NC,"AMERICA'S 1ST CHOICE INSURANCE COMPANY OF NC, INC.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H4270,UCare,"UCARE WISCONSIN, INC.",4,5,4,3
H4346,CareMore Health Plan of Nevada,CAREMORE HEALTH PLAN OF NEVADA,4,3,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category
H4406,SecureHorizons by UnitedHealthcare,"UNITEDHEALTHCARE OF TENNESSEE, INC.",4,2,3,4
H4407,"Healthspring, Inc.","HEALTHSPRING OF TENNESSEE, INC.",4,3,4,3
H4408,Humana Insurance Company,HUMANA INSURANCE COMPANY,3,1,4,4
H4454,Healthspring,"HEALTHSPRING OF TENNESSEE, INC.",3,4,5,2
H4456,SecureHorizons by UnitedHealthcare,"UNITEDHEALTHCARE PLAN OF THE RIVER VALLEY, INC.",3,2,3,3
H4461,"Cariten Health Plan, Inc.",CARITEN HEALTH PLAN IN,3,2,4,3
H4506,Universal American,"SELECTCARE OF TEXAS, L.L.C.",4,3,4,4
H4510,"Humana Health Plan of Texas, Inc.","HUMANA HEALTH PLAN OF TEXAS,INC.",2,3,3,4
H4513,HealthSpring,"TEXAS HEALTHSPRING,  LLC",4,4,4,2
H4514,Evercare® by UnitedHealthcare,"EVERCARE OF TEXAS, LLC",4,2,2,3
H4520,Humana Insurance Company,HUMANA INSURANCE COMPANY,3,2,3,4
H4522,SecureHorizons by UnitedHealthcare,UNITEDHEALTHCARE INSURANCE COMPANY,3,3,2,4
H4523,Aetna Medicare,AETNA HEALTH INC.,3,1,3,5
H4524,Aetna Medicare,AETNA LIFE INSURANCE COMPANY,3,1,1,4
H4525,FirstCare Advantage,"SHA, L.L.C",4,3,3,3
H4527,PHYSICIANS HEALTH CHOICE,PHYSICIANS HEALTH CHOICE OF TEXAS LLC,3,4,4,3
H4528,Bravo Health,"BRAVO HEALTH TEXAS, INC.",3,2,2,4
H4529,Texas Community Care,"ARCADIAN HEALTH PLAN, INC.",3,3,3,4
H4590,SecureHorizons by UnitedHealthcare,"PACIFICARE OF TEXAS, INC.",3,3,4,4
H4604,SecureHorizons by UnitedHealthcare,"UNITEDHEALTHCARE OF UTAH, INC.",4,2,3,4
H4605,Regence BlueCross BlueShield of Utah,REGENCE BLUECROSS BLUESHIELD OF UT,4,4,4,3
H4606,Humana Insurance Company,HUMANA INSURANCE COMPANY,3,3,4,4
H4738,"America's 1st Choice Health Plans, Inc.","AMERICA'S 1ST CHOICE HEALTH PLANS, INC.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H4754,Clear One Health Plans,"CLEAR ONE HEALTH PLANS, INC.",4,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category
H4785,"Humana Health Benefit Plan of LA, Inc.","HUMANA HEALTH BENEFIT PLAN OF LOUISIANA, INC.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H4837,UnitedHealthcare Personal Care Plus,UNITEDHEALTHCARE OF WISCONSIN,3,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,5
H4866,CUATRO LLC,CUATRO LLC,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H4875,Priority Health Medicare,PRIORITY HEALTH,3,3,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category
H4908,Optima Medicare,OPTIMA HEALTH INSURANCE COMPANY,4,2,3,3
H4909,Anthem Blue Cross and Blue Shield,"ANTHEM HEALTH PLANS OF VIRGINIA, INC.",4,1,3,4
H4910,Aetna Medicare,AETNA HEALTH INC.,3,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,5
H4956,Humana Insurance Company,HUMANA INSURANCE COMPANY,4,1,3,4
H4971,SecureHorizons by UnitedHealthcare,UNITEDHEALTHCARE INSURANCE COMPANY,4,2,Not enough data to calculate stars for this category,4
H5005,SecureHorizons by UnitedHealthcare,"PACIFICARE OF WASHINGTON, INC.",4,3,3,3
H5006,Sterling Life Insurance Company,STERLING LIFE INSURANCE COMPANY,3,2,2,3
H5008,Evercare® by UnitedHealthcare,UNITEDHEALTHCARE INSURANCE COMPANY,4,2,3,4
H5009,Regence BlueShield,REGENCE BLUESHIELD,4,2,3,4
H5010,Asuris Northwest Health,ASURIS NORTHWEST HEALTH,4,2,3,3
H5016,Providence Health Plan,PROVIDENCE HEALTH PLANS,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H5041,Humana Insurance Company,HUMANA INSURANCE COMPANY,3,1,4,4
H5042,CDPHP Medicare Choices,"CDPHP UNIVERSAL BENEFITS, INC.",4,5,4,4
H5050,Group Health Cooperative,GROUP HEALTH COOPERATIVE,3,4,5,4
H5087,Easy Choice Health Plan,EASY CHOICE HEALTH PLAN INC.,4,4,2,4
H5106,Highmark Health Insurance Company,HIGHMARK HEALTH INSURANCE COMPANY,4,3,4,3
H5151,The Health Plan,HEALTH PLAN OF THE UPPER OHIO VALLEY,4,5,4,1
H5162,Sterling Life Insurance Company,STERLING LIFE INSURANCE COMPANY,2,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category
H5206,Community Health Partnership,"PARTNERSHIP HEALTH PLAN, INC.",4,4,5,2
H5207,Community Care,"COMMUNITY CARE HEALTH PLAN, INC",5,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,3
H5209,"Care Wisconsin Health Plan, Inc.","CARE WISCONSIN HEALTH PLAN, INC.",4,4,4,3
H5211,Advocare,"SECURITY HEALTH PLAN OF WISCONSIN, INC",5,5,5,4
H5214,Humana Insurance Company,HUMANA INSURANCE COMPANY,2,2,4,4
H5215,Network Platinum Medicare Advantage Plans,NETWORK HEALTH INSURANCE CORPORATION,5,5,5,3
H5216,Humana Insurance Company,HUMANA INSURANCE COMPANY,3,3,3,4
H5253,SecureHorizons by UnitedHealthcare,"UNITEDHEALTHCARE OF WISCONSIN, INC",4,3,2,3
H5262,"Gundersen Lutheran Health Plan, Inc.",GUNDERSEN LUTHERAN HEALTH PLAN,4,5,5,3
H5291,"Humana Health Plan, Inc.","HUMANA HEALTH PLAN, INC.",3,1,3,5
H5294,Advantage by SuperiorHealthPlan,"SUPERIOR HEALTH PLAN, INC.",4,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,3
H5302,Coventry Health Care,"COVENTRY HEALTH CARE OF GEORGIA, INC.",4,1,2,2
H5378,Universal American,THE PYRAMID LIFE INSURANCE COMPANY,4,1,1,2
H5402,Quality Health Plans,"QUALITY HEALTH PLANS, INC.",2,2,3,4
H5404,"Universal Health Care, Inc.","UNIVERSAL HEALTH CARE, INC.",3,2,2,2
H5407,"Citrus Health Care, Inc.","CITRUS HEALTH CARE, INC.",5,2,2,3
H5410,"HealthSpring of Florida, Inc.","HEALTHSPRING OF FLORIDA, INC.",4,5,4,4
H5414,Aetna Medicare,AETNA HEALTH INC.,3,1,2,3
H5415,"Humana Health Insurance Company of FL, Inc.","HUMANA HEALTH INSURANCE COMPANY OF FL, INC.",3,3,2,3
H5416,Spokane Community Care,"ARCADIAN HEALTH PLAN, INC.",3,2,3,5
H5417,Evercare® by UnitedHealthcare,UNITEDHEALTHCARE INSURANCE COMPANY,3,3,3,3
H5420,"Medica HealthCare Plans, Inc.","MEDICA HEALTHCARE PLANS, INC.",4,3,5,3
H5421,Universal American,THE PYRAMID LIFE INSURANCE COMPANY,3,1,3,3
H5422,Blue Cross Blue Shield Healthcare Plan of Georgia,BLUE CROSS BLUE SHIELD OF GEORGIA,3,1,2,3
H5424,SecureHorizons by UnitedHealthcare,UNITEDHEALTHCARE INSURANCE COMPANY,4,4,2,3
H5425,SCAN Health Plan,SCAN HEALTH PLAN,4,3,4,3
H5426,"Humana AdvantageCare Plan, Inc.","HUMANA ADVANTAGECARE PLAN, INC.",3,1,1,4
H5427,"Freedom Health, Inc.","FREEDOM HEALTH PLAN, INC.",4,2,3,3
H5428,Health Plan of San Mateo,SAN MATEO HEALTH COMMISSION,4,5,2,2
H5429,"Universal Health Care, Inc.","UNIVERSAL HEALTH CARE, INC.",3,2,1,2
H5430,"ONECare by Care1st Health Plan Arizona, Inc.",CARE1ST HEALTH PLAN OF ARIZONA,3,2,2,3
H5431,"HealthSun Health Plans, Inc.","HEALTHSUN HEALTH PLANS, INC.",4,3,4,3
H5433,OneCare,ORANGE COUNTY HEALTH AUTHORITY,4,5,2,5
H5434,"Blue Cross and Blue Shield of Florida, Inc.","BLUE CROSS AND BLUE SHIELD OF FLORIDA, INC.",3,2,2,3
H5435,SecureHorizons by UnitedHealthcare,UNITEDHEALTHCARE INSURANCE COMPANY,3,2,3,3
H5439,Health Net Life Insurance Company,HEALTH NET LIFE INSURANCE COMPANY,4,Not enough data to calculate stars for this category,2,3
H5440,Evercare® by UnitedHealthcare,UNITEDHEALTHCARE INSURANCE COMPANY,4,2,3,3
H5470,Humana Insurance Company,HUMANA INSURANCE COMPANY,4,2,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category
H5475,Health Plan of Michigan Gold Plan,"HEALTH PLAN OF MICHIGAN, INC.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H5507,SecureHorizons by UnitedHealthcare,UNITEDHEALTHCARE INSURANCE COMPANY,3,2,2,3
H5508,"ADVANTAGE Health Solutions, Inc.","ADVANTAGE HEALTH SOLUTIONS, INC.",4,3,3,3
H5509,COVENTRY HEALTH CARE,COVENTRY HEALTH AND LIFE INS. COMPANY,4,3,3,3
H5516,SecureHorizons by UnitedHealthcare,UNITEDHEALTHCARE INSURANCE COMPANY,4,3,3,2
H5520,Health Net Medicare Advantage,HEALTH NET LIFE INSURANCE COMPANY,4,4,3,3
H5521,Aetna Medicare,AETNA LIFE INSURANCE COMPANY,3,5,3,4
H5522,HealthAmerica,"HEALTHASSURANCE PENNSYLVANIA, INC.",3,3,3,3
H5525,"Humana Benefit Plan of Illinois, Inc.","HUMANA BENEFIT PLAN OF ILLINOIS, INC.",3,3,3,3
H5526,Forever Blue Medicare PPO,HEALTHNOW NEW YORK INC.,4,5,3,2
H5528,EmblemHealth Medicare PPO,GROUP HEALTH INCORPORATED,4,1,2,3
H5529,Anthem Blue Cross and Blue Shield,COMMUNITY INSURANCE COMPANY,3,3,2,3
H5530,Anthem Blue Cross and Blue Shield,"ANTHEM HEALTH PLANS OF KENTUCKY, INC.",3,2,2,3
H5532,SecureHorizons by UnitedHealthcare,UNITEDHEALTHCARE INSURANCE COMPANY,4,2,3,3
H5533,UPMC Health Plan,UPMC HEALTH NETWORK,4,3,3,3
H5549,VNSNY CHOICE Medicare,VNS CHOICE,4,1,2,4
H5575,Fidelis SecureCare of North Carolina,FIDELIS SECURECARE OF NORTH CAROLINA,3,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,3
H5576,"Vantage Health Plan, Inc.","VANTAGE  HEALTH PLAN, INC.",4,4,5,2
H5577,MCS Classicare,MCS ADVANTAGE INC.,3,4,4,3
H5578,Southeast Community Care,"ARCADIAN HEALTH PLAN OF GEORGIA, INC.",3,2,3,3
H5580,Mercy Care Advantage,SOUTHWEST CATHOLIC HEALTH NETWORK CORPORATION,3,5,1,3
H5587,Health Choice Generations,"HEALTH CHOICE ARIZONA, INC.",4,5,3,4
H5590,Advantage by Bridgeway Health Solutions,BRIDGEWAY HEALTH SOLUTIONS,4,4,Not enough data to calculate stars for this category,3
H5591,Martin's Point Generations Advantage,"MARTIN'S POINT GENERATIONS, LLC",4,4,5,4
H5594,"Optimum HealthCare, Inc.","OPTIMUM HEALTHCARE, INC.",4,2,3,2
H5608,Denver Health Medical Plan,"DENVER HEALTH MEDICAL PLAN, INC.",3,4,3,4
H5609,GEMCARE Health Plan,GEMCARE HEALTH PLAN INC.,4,4,5,3
H5619,Northeast Community Care,"ARCADIAN HEALTH PLAN, INC.",3,3,3,4
H5628,Molina Healthcare of Utah,"MOLINA HEALTHCARE OF UTAH, INC.",4,1,3,4
H5640,IEHP Medicare DualChoice HMO,IEHP HEALTH ACCESS,5,5,4,4
H5649,Central Health Medicare Plan,"CENTRAL HEALTH PLAN OF CALIFORNIA, INC.",4,4,2,4
H5652,Erickson Advantage,UNITEDHEALTHCARE INSURANCE COMPANY,Not enough data to calculate stars for this category,4,4,3
H5656,Universal American,"SELECTCARE HEALTH PLANS, INC.",4,1,2,4
H5665,Care Improvement Plus,"CARE IMPROVEMENT PLUS  OF MARYLAND, INC.",4,2,1,3
H5679,Anthem Blue Cross and Blue Shield,"HMO COLORADO, INC.",3,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,4
H5685,Midwest Advantage,"MIDWEST HEALTH PLAN, INC.",4,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,4
H5696,PUP,"PHYSICIANS UNITED PLAN, INC.",4,2,3,3
H5698,Windsor Medicare Extra,"WINDSOR HEALTH PLAN, INC.",3,3,2,2
H5700,"Arkansas Community Care, Inc.","ARKANSAS COMMUNITY CARE, INC.",3,3,5,3
H5703,South Country Health Alliance,SOUTH COUNTRY HEALTH ALLIANCE,5,Not enough data to calculate stars for this category,3,4
H5732,"Triple-S Salud, INC.","TRIPLE-S SALUD, INC.",2,3,1,4
H5746,AMERIGROUP Community Care of New Mexico,"AMERIGROUP NEW MEXICO, INC.",3,2,1,4
H5749,SecureHorizons by UnitedHealthcare,UNITEDHEALTHCARE INSURANCE COMPANY,4,2,2,4
H5750,North Star Advantage / North Star Advantage Plus,METROPOLITAN HEALTH PLAN,4,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,3
H5774,American Health Medicare,"AMERICAN HEALTH, INC.",3,3,3,4
H5782,Partnership HealthPlan of California,PARTNERSHIP HEALTHPLAN OF CALIFORNIA,4,4,3,4
H5783,Southeast Community Care,"ARCADIAN HEALTH PLAN, INC.",3,2,2,4
H5793,Aetna Medicare,AETNA HEALTH INC.,3,2,2,4
H5810,Molina Healthcare of California,MOLINA HEALTHCARE OF CALIFORNIA,3,2,2,4
H5811,SCAN Health Plan,SCAN HEALTH PLAN,4,2,3,4
H5813,Aetna Medicare,"AETNA HEALTH, INC",3,1,2,5
H5817,AMERIGROUP Community Care,"AMERIGROUP TEXAS, INC.",4,3,3,4
H5820,"UNIVERSAL HEALTH CARE INSURANCE COMPANY, INC.",UNIVERSAL HEALTH CARE INSURANCE COMPANY,3,1,2,2
H5821,MAPFRE LIFE INSURANCE COMPANY,MAPFRE LIFE INSURANCE COMPANY,3,2,3,3
H5823,"Molina Healthcare of Washington, Inc.","MOLINA HEALTHCARE OF WASHINGTON, INC.",4,2,2,3
H5826,Community HealthFirst Medicare Advantage Plan,COMMUNITY HEALTH PLAN OF WASHINGTON,3,1,2,4
H5832,Aetna Medicare,AETNA HEALTH INC.,3,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,4
H5850,Coventry Summit Health Plan,"COVENTRY SUMMIT HEALTH PLAN, INC.",4,1,3,3
H5852,POSITIVE HEALTHCARE PARTNERS,AIDS HEALTHCARE FOUNDATION,4,Not enough data to calculate stars for this category,5,4
H5854,Anthem Blue Cross and Blue Shield,"ANTHEM HEALTH PLANS, INC",2,1,3,3
H5859,CareOregon Advantage,"HEALTH PLAN OF CAREOREGON, INC.",3,5,3,4
H5862,Blue Cross of Idaho,"BLUE CROSS OF IDAHO HEALTH SERVICES, INC.",4,4,3,3
H5868,Humana Insurance Company,HUMANA INSURANCE COMPANY,3,2,4,4
H5883,Blue Care Network,BLUE CARE NETWORK OF MICHIGAN,3,4,4,3
H5884,BlueCross BlueShield of Tennessee,BLUECROSS BLUESHIELD OF TENNESSEE,4,4,4,3
H5887,"First Medical Health Plan, Inc.","FIRST MEDICAL HEALTH PLAN, INC.",3,3,3,3
H5895,Contra Costa Health Plan,CONTRA COSTA CO MED SVCS DBA CONTRA COSTA HEALTH,4,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,3
H5896,AMERIGROUP Community Care,"AMERIGROUP MARYLAND, INC.",4,3,2,4
H5926,Molina Healthcare of Michigan,MOLINA HEALTHCARE OF MICHIGAN,4,3,3,3
H5928,Care1st Medicare Advantage Plan,CARE1ST HEALTH PLAN,4,3,3,3
H5932,Gateway Health Plan Medicare Assured,"GATEWAY HEALTH PLAN, INC.",4,4,3,3
H5938,Capital Health Plan,CAPITAL HEALTH PLAN,4,5,5,3
H5943,VillageHealth,SCAN HEALTH PLAN,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,2
H5948,Arta Medicare Health Plan,"ARTA MEDICARE HEALTH PLAN, INC.",4,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,3
H5950,Aetna Medicare,AETNA HEALTH INC.,3,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,4
H5969,AlohaCare,ALOHACARE,4,3,3,4
H5970,Humana Insurance Company of New York,HUMANA INSURANCE COMPANY OF NEW YORK,3,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category
H5980,"Fidelis SecureCare of Texas, Inc.","FIDELIS SECURECARE OF TEXAS, INC.",3,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,3
H5985,Abrazo Advantage Health Plan,ABRAZO ADVANTAGE HEALTH PLAN,3,2,4,3
H5989,Comprehensive Care Management Corp.,COMPREHENSIVE CARE MANAGEMENT CORP.,4,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,2
H5991,Affinity Health Plan,"AFFINITY HEALTH PLAN, INC.",4,2,2,4
H5992,Senior Whole Health of New York,"SENIOR WHOLE HEALTH, LLC",3,Not enough data to calculate stars for this category,4,3
H5995,"Marion Polk Community Health Plan Advantage, Inc.","MARION POLK COMMUNITY HEALTH PLAN ADVANTAGE, INC.",5,5,3,2
H5998,Unison Advantage,"UNISON HEALTH PLAN OF TENNESSEE, INC.",2,2,2,3
H6169,Universal American,THE PYRAMID LIFE INSURANCE COMPANY,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H6178,CareSource,CARESOURCE,4,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,3
H6181,AMERIGROUP Community Care,"AMERIGROUP NEW YORK, LLC",4,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,4
H6264,Health Plus Elite,"HEALTHPLUS PHSP, INC.",3,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,4
H6328,Care N' Care Health Plan,"CARE N' CARE INSURANCE COMPANY, INC.",4,3,Not enough data to calculate stars for this category,4
H6411,Humana Insurance Company,HUMANA INSURANCE COMPANY,3,1,3,4
H6528,Care Improvement Plus,CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO.,3,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category
H6609,Humana Insurance Company,HUMANA INSURANCE COMPANY,3,1,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category
H6622,Humana Wisconsin Health Organization Insurance Cor,HUMANA WISCONSINHEALTH ORGANIZATION INSURANCE CORP,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H6642,"Universal HMO of Texas, Inc.","UNIVERSAL HMO OF TEXAS, INC.",3,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category
H6705,"Universal Health Care of Nevada, Inc.","UNIVERSAL HEALTH CARE OF NEVADA, INC.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H6743,ATRIO MyAdvantage,ATRIO HEALTH PLANS,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H6815,Health Net Medicare Advantage,HEALTH NET HEALTH PLAN OF OREGON,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H6864,GuildNet,"GUILDNET, INC.",3,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,3
H6881,America's 1st Choice Insurance Company of NC,"AMERICA'S 1ST CHOICE INSURANCE COMPANY OF NC, INC.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H6900,Humana Insurance Company,HUMANA INSURANCE COMPANY,3,2,3,4
H6923,Aetna Medicare,AETNA HEALTH,4,3,Not enough data to calculate stars for this category,5
H6952,Great Lakes Personal Care Plus,"GREAT LAKES HEALTH PLAN, INC.",3,2,Not enough data to calculate stars for this category,2
H7002,Humana Insurance Company,HUMANA INSURANCE COMPANY,4,1,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category
H7006,"Marion Polk Community Health Plan Advantage, Inc.","MARION POLK COMMUNITY HEALTH PLAN ADVANTAGE, INC.",4,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category
H7015,Healthfirst NJ Medicare Plan,"HEALTHFIRST HEALTH PLAN OF NEW JERSEY, INC.",4,2,1,3
H7086,Community Health Group,COMMUNITY HEALTH GROUP,5,5,3,4
H7149,Coventry Health Care,"COVENTRY HEALTH CARE OF NEBRASKA, INC.",4,3,3,2
H7173,Advantage by Peach State,"PEACH STATE HEALTH PLAN, INC.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H7179,Arcadian Community Care,"ARCADIAN HEALTH PLAN OF LOUISIANA, INC.",3,2,3,4
H7187,SecureHorizons by UnitedHealthcare,UNITEDHEALTHCARE INSURANCE COMPANY,4,1,2,4
H7188,Humana Insurance Company,HUMANA INSURANCE COMPANY,3,2,4,4
H7200,AMERIGROUP Community Care,"AMERIGROUP TENNESSEE, INC.",4,3,4,3
H7220,"Clarian Health Plans, Inc. - Clarian Medicare","CLARIAN HEALTH PLANS, INC.",4,4,5,3
H7281,Bravo Health,"BRAVO HEALTH PENNSYLVANIA, INC.",3,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category
H7292,Alameda Alliance for Health,ALAMEDA ALLIANCE JOINT POWERS AUTHORITY (JPA),4,5,3,3
H7301,PersonalCare,PERSONAL CARE INSURANCE OF ILLINOIS,4,4,3,3
H7306,Coventry Health Care,FIRST HEALTH LIFE & HEALTH INSURANCE COMPANY,4,1,1,2
H7341,"Guardian Healthcare, Inc.","GUARDIAN HEALTHCARE, INC.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H7352,University Physicians/Maricopa Care Advantage,UPH/MIHS VENTURES L.L.C.,4,4,2,3
H7475,"Care Wisconsin Health Plan, Inc.","CARE WISCONSIN HEALTH PLAN, INC.",3,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,3
H7526,Medica Health Plans,MEDICA HEALTH PLANS,4,1,Not enough data to calculate stars for this category,3
H7678,"Molina Healthcare of Texas, Inc.","MOLINA HEALTHCARE OF TEXAS, INC.",4,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,4
H7731,MD Care Health Plan,"MD CARE, INC.",3,3,4,3
H7787,HealthSpring Medicare Advantage PPO,"HEALTHSPRING LIFE & HEALTH INSURANCE COMPANY, INC.",4,1,3,3
H7908,Aetna Medicare,AETNA HEALTH,3,1,1,5
H7917,BlueCross BlueShield of Tennessee,BLUE CROSS BLUE SHIELD OF TENNESSEE,4,2,4,3
H7949,SecureHorizons by UnitedHealthcare,"PACIFICARE OF NEVADA, INC.",Not enough data to calculate stars for this category,4,3,3
H8050,Carilion Clinic Medicare Health Plan,"CARILION CLINIC MEDICARE RESOURCES, LLC",4,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category
H8091,Arkansas Blue Cross and Blue Shield,ARKANSAS BLUE CROSS AND BLUE SHIELD,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H8098,"Universal Health Care Insurance Company, Inc.",UNIVERSAL HEALTH CARE INSURANCE COMPANY,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H8130,Molina Healthcare of Florida,"MOLINA HEALTHCARE OF FLORIDA, INC.",3,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category
H8145,Humana Insurance Company,HUMANA INSURANCE COMPANY,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H8189,Advantage by Managed Health Services,"MANAGED HEALTH SERVICES, WISCONSIN",3,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category
H8319,"Universal Health Care Insurance Company, Inc.","UNIVERSAL HEALTH CARE INSURANCE COMPANY, INC.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H8393,Coventry Health Care,COVENTRY HEALTH AND LIFE INSURANCE CO. (NEBRASKA),4,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,3
